constraint_type,constraint_label,wealth_multiplier,run_id,mean_reversion_beta,mean_reversion_alpha,mean_reversion_r2,price_variance,log_deviation_variance,return_volatility,final_price,max_drawdown
buyer_cash_only,Buyer cash only,0.5,68,-0.0023452798176661835,-0.006843912775544902,0.1399840730995554,511.5194647810263,0.3278604379745482,0.0035853815232111015,13.269528551885895,-0.868494448845411
buyer_cash_only,Buyer cash only,0.5,69,-0.0028958908783758026,-0.00728972761182046,0.19320402550168891,502.827773657316,0.3077123800431506,0.0036519097416479163,14.610693860246213,-0.8542468562572442
buyer_cash_only,Buyer cash only,0.5,70,-0.0036424587588598646,-0.00817239423394438,0.25479568879285563,458.81026534089017,0.28344502975576424,0.003839527471610691,15.233681967117647,-0.8476631803288235
buyer_cash_only,Buyer cash only,0.5,71,-0.0030305834320749616,-0.007353902904081758,0.1870882696247662,449.67928463697865,0.2754582029588689,0.0036737013890278617,14.849377821594585,-0.8515062217840541
buyer_cash_only,Buyer cash only,0.5,72,-0.0028243733011576407,-0.007014551551877126,0.19179796194294285,498.2296935572044,0.29759058483716144,0.003515562213283403,15.356543723035248,-0.8467916235181705
buyer_cash_only,Buyer cash only,0.5,73,-0.0024690408661358636,-0.006646284328696761,0.14336546220062352,490.70782343206196,0.2976458417840157,0.0035541080047311485,14.788128410246427,-0.8524899435482627
buyer_cash_only,Buyer cash only,0.5,74,-0.0032972432568036487,-0.007426398210001985,0.20943431786122646,494.3240848200632,0.2776571540535897,0.003794377519656377,16.34686295271487,-0.8377409810930976
buyer_cash_only,Buyer cash only,0.5,75,-0.003149990586209656,-0.0074743060267314435,0.2156314001228682,473.4092357590819,0.28215313250319163,0.003600386300764396,15.150322849497996,-0.8485235353671651
buyer_cash_only,Buyer cash only,0.5,76,-0.002786678801205912,-0.0069029413027190175,0.17314571296747128,510.62052163087833,0.29966687266743003,0.003663651201957447,15.679485421396276,-0.8437166279533629
buyer_cash_only,Buyer cash only,0.5,77,-0.0028554028947420525,-0.006893341024603448,0.16661972206711628,470.39724109536036,0.2763567861051328,0.0036744113977362626,15.949744105022233,-0.8406719421182534
buyer_cash_only,Buyer cash only,0.5,78,-0.003198151950656056,-0.007566044055155454,0.22581715819521464,471.1259261258564,0.29303995796071003,0.003640791111995334,15.17794899611523,-0.8498812122486321
buyer_cash_only,Buyer cash only,0.5,79,-0.0031207145564852608,-0.0075402726742642,0.21175009693076785,499.37325764475634,0.297841621986135,0.003698486658801536,14.832395550129526,-0.8516760444987047
buyer_cash_only,Buyer cash only,0.5,80,-0.002485983010102514,-0.006754187785490348,0.14972547856452645,486.27068015564294,0.299923058816717,0.003514843666152574,14.390659820099248,-0.8562331695061467
buyer_cash_only,Buyer cash only,0.5,81,-0.003102795254311593,-0.007515518987405989,0.20694158002110097,487.97931008580855,0.29234234917644925,0.003684947833875047,14.763031310780036,-0.8529979689551181
buyer_cash_only,Buyer cash only,0.5,82,-0.0027604679589551475,-0.007112455359389042,0.17281627534893373,475.6880360824947,0.28658250467976076,0.003550980630538082,14.351218447987941,-0.8564878155201205
buyer_cash_only,Buyer cash only,0.5,83,-0.0032164860701027293,-0.007608618812616991,0.2073837306838897,456.5779327480628,0.282739408950608,0.0037526438324531905,14.966131502397657,-0.8503386849760235
buyer_cash_only,Buyer cash only,0.5,84,-0.0029558737185853582,-0.007480075211314226,0.20987598658804674,489.23436497684247,0.30272128566466827,0.0035468253618757307,14.078366381380826,-0.8592163361861918
buyer_cash_only,Buyer cash only,0.5,85,-0.0025664752026192885,-0.007048434925733744,0.1598509906572405,507.68661328369785,0.31705098243931673,0.003610873939662616,13.662876810782958,-0.8636013317115314
buyer_cash_only,Buyer cash only,0.5,86,-0.0032236086908148027,-0.0076680360354040925,0.22909104453383344,493.94129869515984,0.29550215084563786,0.0036586475676534743,14.900548821601749,-0.851830563789769
buyer_cash_only,Buyer cash only,0.5,87,-0.003050239326739709,-0.007285971094517083,0.19938402601499727,485.0186161862387,0.28969352370276225,0.003674152925350504,15.476479633496673,-0.8452352036650332
buyer_cash_only,Buyer cash only,0.5,88,-0.002980063331695519,-0.007339446063701535,0.1911948594660552,477.1410997176728,0.28516496465140473,0.0036360715576709,14.695841091433284,-0.8530415890856672
buyer_cash_only,Buyer cash only,0.5,89,-0.0033668033186772216,-0.008077651547582717,0.2637540758860256,473.95678420471387,0.3078214693146647,0.0036347752248438586,14.158914010042807,-0.8587098805163819
buyer_cash_only,Buyer cash only,0.5,90,-0.0026915924005414416,-0.007304349933788238,0.1767821517409972,513.0595171194473,0.32084269321703357,0.0036225174166229076,13.341304154695553,-0.8666236839422515
buyer_cash_only,Buyer cash only,0.5,91,-0.002933284340446683,-0.007388782224211475,0.1903179489809309,490.5890374396508,0.29443876820176795,0.003645039636271303,14.261641036724003,-0.8585418176822855
buyer_cash_only,Buyer cash only,0.5,92,-0.003937948590728371,-0.00826822598565785,0.28125104374627763,436.22334896623715,0.2558444531353952,0.0037537619286079865,16.333415502806986,-0.8371531622406282
buyer_cash_only,Buyer cash only,0.5,93,-0.0026773755577983393,-0.007233956157561829,0.19164606163193065,512.9205327270063,0.3327237947409651,0.00352492706883602,13.65890346357839,-0.8638325934948368
buyer_cash_only,Buyer cash only,0.5,94,-0.0026771860796111486,-0.0070034510579997135,0.17907749355341707,491.108294379612,0.3059371595149801,0.003496180141091218,14.498517621910404,-0.8555879031624941
buyer_cash_only,Buyer cash only,0.5,95,-0.002794653942895122,-0.00725704251729518,0.1787452517793251,493.9168567283063,0.30149282148586687,0.0036259895925609617,14.039824457654136,-0.8596482729834938
buyer_cash_only,Buyer cash only,0.5,96,-0.0026656675024948977,-0.006992151906737503,0.15697590969014952,477.52537894182257,0.2935312611127384,0.0036413915225164462,14.366699395423554,-0.8572389131405407
buyer_cash_only,Buyer cash only,0.5,97,-0.0025614690743781523,-0.006787617471200128,0.1663748216198112,493.3336010603144,0.2898913908080927,0.003377580127951646,14.641133328997022,-0.8535886667100298
