market_depth,run_id,curve_roughness,return_volatility
20,76,0.02558955140643733,0.0074706108502272
20,77,0.024473831982511213,0.00713006357515989
20,78,0.02521679445465657,0.007681527935485665
20,79,0.024730376803684635,0.007744552229464773
20,80,0.02445508363053407,0.00752846729834938
20,81,0.02564102564102564,0.007386016456531981
20,82,0.02564102564102564,0.007423731143416816
20,83,0.024689411830379218,0.007307417150641416
20,84,0.024685890064579524,0.0074148919705254
20,85,0.024583063273347236,0.007443559157701866
20,86,0.025641025641025647,0.007602873334655154
20,87,0.02465194938498226,0.00759841006665013
20,88,0.025641025641025644,0.007525711168327447
20,89,0.023341872216418112,0.007928535681655108
20,90,0.0254951167284911,0.0078035965651194845
20,91,0.024445267495237257,0.007673667246798387
20,92,0.025641025641025647,0.007781959533404256
20,93,0.023541112242765665,0.007436600772252934
20,94,0.02564102564102564,0.007580678009161548
20,95,0.024754231747624533,0.007622313985630941
20,96,0.024421334533418028,0.007488829099096868
20,97,0.025641025641025647,0.007130311895992667
20,98,0.024529927613942522,0.007561931980474519
20,99,0.02564102564102564,0.007744559628372435
50,0,0.010101010101010107,0.004981112055699257
50,1,0.010101010101010104,0.004922285551294849
50,2,0.010101010101010107,0.004659586873685063
50,3,0.009864737090620824,0.0050027344416859595
50,4,0.010101010101010107,0.004610490407711906
50,5,0.009883319396050668,0.0047941466275912645
50,6,0.010058471697468466,0.004643647158655509
50,7,0.009914850923808085,0.005113077908654674
50,8,0.009908948520661256,0.004510924001505086
50,9,0.010043847622230009,0.004812781268859054
50,10,0.009966789079002555,0.004707176947886132
50,11,0.010007729412111453,0.004725099082736922
50,12,0.00996348102722077,0.005089084994692833
50,13,0.009783533733148464,0.0047269709627011875
50,14,0.009942115369724131,0.005009070577222051
50,15,0.009938581499580153,0.004889372524617781
50,16,0.010042144632957252,0.004831757829841298
50,17,0.010101010101010107,0.004778573332839881
50,18,0.009928169227043853,0.004853276855829694
50,19,0.009975349190516828,0.004991156657739032
50,20,0.010101010101010107,0.004893706960650669
50,21,0.010030135696705359,0.005057013545615545
50,22,0.01010101010101011,0.005058803858818031
50,23,0.009991052348027952,0.004658716728454293
50,24,0.00994996130248757,0.004696102185379232
50,25,0.010095908084116213,0.0048293850013003525
50,26,0.010101010101010107,0.004686295826859206
50,27,0.009870549152769097,0.004639281029984761
50,28,0.009928704412369403,0.0048224931708318935
50,29,0.009932742349131642,0.004684774547414892
50,30,0.009944935124595029,0.00484783962845988
50,31,0.01001943362556398,0.0050546432826873025
50,32,0.00990350600262575,0.004843712037360572
50,33,0.010101010101010104,0.004715108138313
50,34,0.009837576200164417,0.004655719357489076
50,35,0.009979546032680416,0.004993829491081252
50,36,0.010101010101010107,0.004610251612314225
50,37,0.009935539784040534,0.004687048336535796
50,38,0.010101010101010107,0.005035685549594818
50,39,0.010101010101010107,0.00470749488226466
50,40,0.010101010101010107,0.004914530275528796
50,41,0.009922935601838774,0.004678936436417337
50,42,0.009866243787687655,0.004715322868615434
50,43,0.009992098141479631,0.004579647931492605
50,44,0.009921364922154613,0.005011555050330807
50,45,0.009986601139570355,0.004852030815221599
50,46,0.00985541051375342,0.00474315149960433
50,47,0.009980988217609316,0.004786942752542496
50,48,0.010101010101010107,0.00499721876108215
50,49,0.009925039219404332,0.004913783023490064
50,50,0.010002090029107895,0.004852124073419585
50,51,0.010101010101010104,0.004768373848673017
50,52,0.010101010101010104,0.004761420998861482
50,53,0.010101010101010104,0.004618060702692603
50,54,0.01001234060772693,0.00493797014174934
50,55,0.01010101010101011,0.0046105113801156875
50,56,0.009988472910249152,0.004872741722621775
50,57,0.009989844908591838,0.00495577358648417
50,58,0.010001125891547086,0.004949974655545841
50,59,0.009923610957674644,0.005098349499777335
50,60,0.010101010101010104,0.004709899256021863
50,61,0.010101010101010104,0.004827276410105752
50,62,0.009914032917699742,0.005086231030195372
50,63,0.010101010101010107,0.004992238668891935
50,64,0.009914136004629412,0.004841027058449321
50,65,0.010101010101010104,0.004843867825082748
50,66,0.009986992869259782,0.005212012108998804
50,67,0.009926726012677727,0.004697962259118113
50,68,0.009753777251429065,0.005149483366957547
50,69,0.010101010101010107,0.0047593803314450785
50,70,0.010101010101010107,0.004731101985006335
50,71,0.010101010101010104,0.004723044703877404
50,72,0.010101010101010104,0.004728389008368347
50,73,0.009884890341337976,0.004858306828489305
50,74,0.010081773279628196,0.004930456850636082
50,75,0.009889760551807382,0.004736931906120016
50,76,0.009938167919515045,0.0048488255308321015
50,77,0.009997675932401683,0.004717971856253149
50,78,0.01010101010101011,0.005092413581278393
50,79,0.010101010101010107,0.004777525779704873
50,80,0.009984745282508199,0.004619350736793986
50,81,0.010085817267065856,0.00483515841042261
50,82,0.010101010101010104,0.004803684832328959
50,83,0.009741400975608092,0.005080176847098109
50,84,0.010084297832187405,0.004861076770966081
50,85,0.010071934972897285,0.0052770244317553
50,86,0.010088770088117052,0.004527376128690558
50,87,0.010077310702991685,0.004873701754487378
50,88,0.00986532897688528,0.004641414952724021
50,89,0.010101010101010105,0.004916282547498844
50,90,0.010101010101010107,0.004941577715368138
50,91,0.00983246175455723,0.004886388029557275
50,92,0.010059349761822189,0.004645673558432623
50,93,0.0098189652884002,0.004789236454986696
50,94,0.009928206661442191,0.005071098299554231
50,95,0.009952340520960962,0.004754181756617623
50,96,0.009903525745573507,0.004634662736346362
50,97,0.009920998956741853,0.004582897814998498
50,98,0.010006087063178275,0.005162334638772425
50,99,0.010066462513653516,0.004779933583693846
100,0,0.005025125628140706,0.003282342690009519
100,1,0.0050222103351355175,0.0035307996180190446
100,2,0.004987062863223556,0.0034046814010255015
100,3,0.005025125628140707,0.003431568729887848
100,4,0.005025125628140708,0.0033045424659203775
