regime,group,inflow_per_period,run_id,mean_log_return,std_log_return,t_stat_mean_return,p_value_one_sided_positive,lag1_autocorr,variance_ratio_lag5,final_price,positive_return_pct,zero_trade_periods,avg_volume,avg_cash,cash_gini_end,share_gini_end,avg_cash_constrained_ratio,avg_share_constrained_ratio
tight,inflow,10.0,50,-0.003210168020609669,0.012124129283733569,-5.92055210340737,0.9999999983956869,0.9201083045339113,4.439735642337487,20.08726788263785,0.562,0.0,3985.1093256335157,2700.0,0.31530486237099264,0.45218897686271065,0.24055133197139794,0.16961827477426958
tight,inflow,10.0,51,-0.0033735234840223515,0.011748943293894767,-6.420515994732717,0.9999999999320934,0.9212358789421535,4.386656890341648,18.511801432570785,0.516,0.0,3960.6242315858035,2700.0,0.28366378798178254,0.4366478743958097,0.2390136364868871,0.1670329409125527
tight,inflow,10.0,52,-0.0033565252590069647,0.011789086641333171,-6.36641232325858,0.9999999999032496,0.9109167617413118,4.4081205518594055,18.669805813051237,0.52,0.0,3978.9383857978264,2700.0,0.2922296452867994,0.43629547739749047,0.24141873486261778,0.16836392156739793
tight,inflow,10.0,53,-0.0032533210849663226,0.01224303146577041,-5.9418675178258225,0.9999999985910344,0.9205182297951796,4.339284961544786,19.65849663341386,0.53,0.0,3965.0416411927063,2700.0,0.3012287161623309,0.42681517041415007,0.24056831362857067,0.17192411805785876
tight,inflow,10.0,54,-0.0033086725849261586,0.011939520390383093,-6.1965778970016485,0.9999999997114801,0.9146427290148234,4.40940889824014,19.121892704115567,0.53,0.0,3975.0115885432565,2700.0,0.31365600275418626,0.4539389769104812,0.24194471425109612,0.16425202625217697
tight,inflow,10.0,55,-0.00333248978018852,0.012238568481105681,-6.088680791653869,0.9999999994307758,0.9317770833474834,4.415300187295736,18.895528294435795,0.55,0.0,4014.986691287049,2700.0000000000005,0.302748873652762,0.458645813841457,0.23327720921412112,0.17048032534696525
tight,inflow,10.0,56,-0.0034687455653863815,0.012158220697794346,-6.379511503901217,0.999999999911173,0.9175159134074448,4.4253791341693995,17.651087625019592,0.51,0.0,3986.111554212191,2700.0,0.29720441193711644,0.439669816252074,0.2308839164581737,0.1718510261823031
tight,inflow,10.0,57,-0.003318515510343923,0.0120190824526477,-6.173870838103588,0.9999999996668101,0.9161026593898233,4.401311027411674,19.02801621654561,0.528,0.0,3989.961425156056,2700.0,0.2955254442035021,0.4390653456794594,0.23846689699958526,0.17362350146232758
tight,inflow,10.0,58,-0.0034413658233750245,0.011878241631896456,-6.478339265171609,0.9999999999536312,0.9227385813455365,4.337000809197776,17.894390329213735,0.512,0.0,3992.309675639246,2700.0,0.2834142065730358,0.44956295161044263,0.23287309853669466,0.1662354688880315
tight,inflow,10.0,59,-0.003337195253562629,0.011966212216469083,-6.2360547399330555,0.9999999997756279,0.923458479326603,4.4119106479333,18.851124347676183,0.55,0.0,3968.40974272254,2700.0000000000005,0.3088859658546726,0.4464745135821208,0.23879028915849854,0.16020540583413262
tight,inflow,10.0,60,-0.003253149247747393,0.012201034450306309,-5.962005015675415,0.9999999987541925,0.9056532926821798,4.266228722794325,19.66018573667043,0.53,0.0,3981.753256746305,2700.0000000000005,0.3193242464721959,0.45741510594912266,0.23816990129352217,0.1668291078147116
tight,inflow,10.0,61,-0.003264213969775807,0.012448026673603056,-5.863583458574376,0.9999999977350851,0.9212764148141195,4.36579965218708,19.55171880732839,0.56,0.0,3957.688851315702,2700.0,0.30170907775960004,0.4314661534027612,0.24034992744016073,0.16682333328554855
tight,inflow,10.0,62,-0.0033242675555830424,0.01230219298490236,-6.042246483048275,0.9999999992400848,0.9232684011728837,4.386080301125578,18.97336983128883,0.538,0.0,3959.475239414182,2700.0,0.2972686846710834,0.4488491301562922,0.2357971446000336,0.1719125753045824
tight,inflow,10.0,63,-0.003370432110634477,0.01235183703462212,-6.1015339595251925,0.9999999994747235,0.9113334852068157,4.241863711056137,18.540437002834672,0.526,0.0,4005.2202260570516,2700.0,0.2959910041162957,0.44874075323204726,0.23294298523516577,0.16400771707145495
tight,inflow,10.0,64,-0.0033634216069670176,0.01223479577726965,-6.1470902229053825,0.9999999996054139,0.9193165786039222,4.399206949074706,18.60553993806973,0.534,0.0,3959.7880473918617,2700.0,0.29093628379970415,0.43891222905381155,0.23627944404850834,0.1705969372616421
tight,inflow,10.0,65,-0.003178149970465959,0.012184515870944228,-5.832451163363388,0.9999999972690503,0.9150293627173044,4.392844233280616,20.411433320805983,0.558,0.0,3956.3674098289666,2700.0,0.31649745619784914,0.43712371258992766,0.24043092382283687,0.16641164809279405
tight,inflow,10.0,66,-0.0032930665228925048,0.011973979913580842,-6.149601596763021,0.9999999996116109,0.9120398994471296,4.342526268767152,19.27168508323947,0.548,0.0,3972.2379820697984,2700.0,0.3002747054147651,0.44478654805071904,0.23834060824462966,0.1671338006382935
tight,inflow,10.0,67,-0.0034152235630308015,0.012102127935731736,-6.310189485560228,0.999999999860653,0.9210465985742009,4.435498153824581,18.1298255849075,0.524,0.0,3986.1102023559074,2700.0,0.29623574954862963,0.4614726743919124,0.23203383418125537,0.16672242510970828
tight,inflow,10.0,68,-0.003260209341506048,0.011706365460247786,-6.227423646769561,0.9999999997629161,0.9209127093810123,4.304704774382667,19.590906710410735,0.536,0.0,3974.2646635266638,2700.0,0.30559265260358937,0.4486860436908307,0.23858556903813904,0.16823147877235556
